date,type,entry,calories,protein,carbs,netCarbs,fat,fiber,totalSugar,saturatedFat,vitaminA,vitaminC,vitaminD,vitaminB12,folate,choline,iron,calcium,magnesium,potassium,sodium,omega3,water (L)
2026-04-14,food,Five eggs half bagel,500,36.5,30,30,26,,,,,,,,,,,,,,,,
2026-04-14,food,Salmon with rice and scallion and avocado,720,43,55,55,37,,,,,,,,,,,,,,,,
2026-04-14,food,"Shrimp scampi, lots of shrimp",600,55,10,10,35,,,,,,,,,,,,,,,,
2026-04-14,food,Chipotle burrito,1010,60,106,106,39,,,,,,,,,,,,,,,,
2026-04-14,food,Piece of brioche French toast,350,10,45,45,14,,,,,,,,,,,,,,,,
2026-04-15,food,Overnight oats,350,15,55,55,10,,,,,,,,,,,,,,,,
2026-04-15,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-15,food,"Shrimp scampi, lots of shrimp",600,55,10,8,35,2,3,15,150,10,0,3,40,200,4,150,60,450,1200,300,
2026-04-15,food,Large bowl tonkatssu ramen and a few small side salads small amount of those 3 chicken wings,1230,57,107,107,62,,,,,,,,,,,,,,,,
2026-04-15,food,2 beers,300,2,26,26,0,,,,,,,,,,,,,,,,
2026-04-15,food,French toast piece,350,10,45,45,14,,,,,,,,,,,,,,,,
2026-04-16,food,Overnight oats,350,15,55,55,10,,,,,,,,,,,,,,,,
2026-04-16,food,4 chicken tacos,680,48,72,72,20,,,,,,,,,,,,,,,,
2026-04-16,food,Panara chicken noodle soup,130,11,15,15,3,,,,,,,,,,,,,,,,
2026-04-16,food,Salmon with rice and scallion,650,40,55,55,30,,,,,,,,,,,,,,,,
2026-04-16,food,French toast,350,10,45,45,14,,,,,,,,,,,,,,,,
2026-04-16,food,Beer,150,1,13,13,0,,,,,,,,,,,,,,,,
2026-04-17,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-17,food,3 large tacos with a whole avocado and chicken and onion,810,57,81,81,27,,,,,,,,,,,,,,,,
2026-04-17,food,4 beers,600,4,52,52,0,,,,,,,,,,,,,,,,
2026-04-17,food,1 hotdog,150,6,2,2,13,,,,,,,,,,,,,,,,
2026-04-18,food,5 eggs half toast with whole avo,640,36,21.5,11,46.5,10.5,4.5,12.1,690,20,11,5,140,858,6.8,300,90,790,430,285,
2026-04-18,food,Pret turkey sandwich,450,25,45,45,18,,,,,,,,,,,,,,,,
2026-04-18,food,Olive Garden spaghetti and meatball and breadsticks,1200,58,144,144,41,,,,,,,,,,,,,,,,
2026-04-19,food,Vegetable omelette,250,16,6,6,18,,,,,,,,,,,,,,,,
2026-04-19,food,Muffin,450,6,65,65,18,,,,,,,,,,,,,,,,
2026-04-19,food,Half cookie,75,1,10,10,4,,,,,,,,,,,,,,,,
2026-04-19,food,2 small slices pizza,460,20,54,54,20,,,,,,,,,,,,,,,,
2026-04-19,food,Little bit of salad and mozzarella and bread,195,11,22,22,7,,,,,,,,,,,,,,,,
2026-04-19,food,2 beers,300,2,26,26,0,,,,,,,,,,,,,,,,
2026-04-19,food,1 chicken gyro,600,35,60,60,25,,,,,,,,,,,,,,,,
2026-04-20,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-20,food,Slice pizza,230,10,27,27,10,,,,,,,,,,,,,,,,
2026-04-20,food,Momofuku ramen pack with scallion,325,10.1,62.2,62.2,3.5,,,,,,,,,,,,,,,,
2026-04-20,food,Salmon,367,39,0,0,22,,,,,,,,,,,,,,,,
2026-04-20,food,Ate out at Indian restaurant while high,900,30,110,110,35,,,,,,,,,,,,,,,,
2026-04-20,food,Little bit of chocolate,60,1,7,7,4,,,,,,,,,,,,,,,,
2026-04-20,food,4 beers,600,4,52,52,0,,,,,,,,,,,,,,,,
2026-04-21,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,62.4,10,,,,,,,,,,,,,,,,
2026-04-21,food,240 cal pho,240,15,30,30,7,,,,,,,,,,,,,,,,
2026-04-21,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-21,food,Scone small,300,5,45,45,12,,,,,,,,,,,,,,,,
2026-04-21,food,Chipotle burrito chicken,945,61,85,85,34,,,,,,,,,,,,,,,,
2026-04-21,food,Chocolate,60,1,7,7,4,,,,,,,,,,,,,,,,
2026-04-22,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-22,food,mortadella sandwich,550,24.4,48.9,48.9,29.3,,,,,,,,,,,,,,,,
2026-04-22,food,Chipotle burrito chicken,945,61,85,85,34,,,,,,,,,,,,,,,,
2026-04-22,food,One slice French toast,175,5,22.5,22.5,7,,,,,,,,,,,,,,,,
2026-04-23,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-23,food,Salmon with rice and scallion,650,40,55,55,30,,,,,,,,,,,,,,,,
2026-04-23,food,Chicken Casadilla small,500,25,40,40,24,,,,,,,,,,,,,,,,
2026-04-23,food,Chipotle burrito chicken,945,61,85,85,34,,,,,,,,,,,,,,,,
2026-04-24,food, tapas and some steak,1030,68,50,50,61,,,,,,,,,,,,,,,,
2026-04-24,food,Few glasseswhite wine,375,0,9,9,0,,,,,,,,,,,,,,,,
2026-04-24,food,6 beers,900,6,78,78,0,,,,,,,,,,,,,,,,
2026-04-24,food,Chipotle burrito chicken,945,61,85,71,34,14,7,18,360,11,0.5,1.5,160,120,3,540,120,900,2170,250,
2026-04-24,food,5 eggs half toast,400,31.5,10,10,25.5,,,,,,,,,,,,,,,,
2026-04-24,food,Small pho bowl,350,20,45,45,9,,,,,,,,,,,,,,,,
2026-04-25,food,Ichiran ramen,470,15,62,62,18,,,,,,,,,,,,,,,,
2026-04-25,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-25,food,Chicken giro,600,35,60,60,25,,,,,,,,,,,,,,,,
2026-04-26,food,Momofuku ramen pack,325,10,62,62,4,,,,,,,,,,,,,,,,
2026-04-26,food,4 eggs and half bagel,423,29.7,28.6,28.6,20,,,,,,,,,,,,,,,,
2026-04-26,food,Oats with blueberries and protein powder scoop with oat milk and Greek yogurt and creatine,539,51.3,62.4,62.4,10,,,,,,,,,,,,,,,,
